"flag","Domain","2nd domain","A Record","MX Record","Domain crated","Domain expired","Company owner","Intelligence Alliance","Jurisdiction 
(based on server location)","Site description","ToS","Privacy policy","Email
(receive a verification link)","Phone
(receive s sms code)","Price","Personal Info
(first name, last name, adress, etc..)","Note"
" 🇱🇻","inbox.eu","mail.ee
inbox.vg
inbox.lt
Inbox.lv
inbox.la","195.216.236.55 | 🇱🇻 | Latvia | AS12993 | SIA Digitalas Ekonomikas Attistibas Centrs | SIA INBOKSS","mx.inbox.eu | 🇱🇻 | Latvia | AS12993 | SIA Digitalas Ekonomikas Attistibas Centrs | SIA INBOKSS",2006-03-20,,"🇱🇻 SIA ""INBOKSS""",,"Latvia","Email solution for your business- domain e-mail — Inbox.eu
Privacy and security oriented email with synced contacts, calendar and file storage","Illegal content (threats, defamation, obscenity), spam, viruses, harassment, IP/copyright violations, unauthorized ads, disrupting service, collecting others' data","Collect name, surname, birth date, gender, IP, login time, location (via IP), payment info (bank/PayPal, no card), cookies, contacts, third-party data. Store in Latvia. Share with ad partners (e.g., Google, AD BOX), legal requests.","yes","optional","free","required","NBOX is an email service from the Latvian company SIA ""INBOKSS,"" offering a free version (Inbox Mail) with ads and a paid version (Inbox PREMIUM) with increased mailbox size and no ads. It supports basic features: sending/receiving emails, contact synchronization, and integration with other email services. It also includes file storage (Inbox Files). Suitable for everyday communication and data storage. Security & Anonymity: Utilizes SSL encryption for data transmission and two-factor authentication (2FA) for login, providing a basic level of security. However, it lacks end-to-end encryption, leaving email content vulnerable to interception or access by the service. Anonymity is low: personal data (name, surname, birth date, gender, IP, location, contacts) is collected and shared with ad partners (Google, AD BOX) for personalized ads and with authorities upon request. Data is stored in Latvia, subject to local laws and GDPR, but third-party access isn’t ruled out. Ideal for simple communication, temporary registrations, or storing non-sensitive data, especially in the free version. The paid PREMIUM version removes ads and adds features but doesn’t enhance privacy. Not recommended for confidential correspondence—it falls behind Proton Mail or Tutanota due to weak anonymity and lack of full content protection. Perfect for users needing basic email functionality with minimal costs."
" 🇨🇭","woelklimail.com","wail.ch","185.15.230.217 | 🇨🇭 | Switzerland | AS206484 | oriented.net GmbH","wail-mxa1.srv.bsa.oriented.ch | 🇨🇭 | Switzerland | AS206484 | oriented.net GmbH",2007-06-04,," 🇨🇭 oriented.net LLC",,"Switzerland","wölkli Mail - Secure and Encrypted Mail in Switzerland
wölkli Mail is a Swiss service that provides secure and encrytped mail accounts hosted in Switzerland in its own ISO 27001 certified data centre. ","Reselling services; illegal content (violence, pornography, racism, incitement to crime, extremist content, illegal gambling, copyright violations); unauthorized access or misuse (viruses, hacking); failure to secure access credentials or report issues","Collect personal data (name, address, login credentials), technical data (server info, logs, customer-uploaded content). Stored in Switzerland. Shared only for legal/regulatory purposes or to protect oriented.net’s rights/property.","no","no","Free; M1 60 CHF/year; M3 200 CHF/year; M4 300 CHF/year","optional","Wölkli Mail is a Swiss email service offering free and paid encrypted email accounts under the @wail.ch domain. Hosting is provided in its own ISO 27001-certified data center in Switzerland. The service focuses on security and privacy, with a basic free tier (200 MB, no IMAP/SMTP) and paid plans with enhanced features. Security & Anonymity: Wölkli Mail employs 256-bit SSL encryption for data transmission and AES-256 server-side encryption for stored emails. It supports OpenPGP for message encryption and decryption, along with two-factor authentication (2FA). Emails are encrypted with user-specific cryptographic keys before reaching the inbox, preventing even the service provider from accessing their contents. Data is stored in Switzerland, benefiting from strict privacy laws (DSG). However, full anonymity isn’t guaranteed: registration requires a name, surname, and a strong password (min. 12 characters), and IP addresses may be logged. The privacy policy lacks detailed disclosure about data collection, leaving some uncertainty regarding anonymity. The free version (200 MB, 20 MB attachment limit, ad-free) is suitable for basic correspondence, temporary registrations, or non-sensitive data via the web interface (based on RainLoop, with Russian language support). Paid tiers, offering more storage and IMAP/SMTP access, are ideal for personal or professional use requiring encryption and reliability. Thanks to Swiss jurisdiction and cryptographic features, it’s a good fit for users prioritizing above-average privacy, though for maximum anonymity (e.g., no personal data required), alternatives like Proton Mail or Tutanota might be preferable."
" 🇵🇱","interia.pl","interia.pl
poczta.fm
interia.eu
interia.com
intmail.pl
interiowy.pl
adresik.net
pisz.to
vip.interia.pl
pacz.to
Ogarnij.se","185.15.229.90 | 🇵🇱 | Poland | AS16138 | Interia.pl Sp z.o.o. | Interia.pl S.A.","mx.interia.pl | 🇵🇱 | Poland | AS16138 | Interia.pl Sp z.o.o. | Interia.pl S.A.",1999-10-07,2028-01-05,"🇵🇱 Interia.pl Sp z.o.o.",,"Poland","Poczta w Interia.pl - darmowa poczta e-mail – logowanie do konta
Dołącz do użytkowników Poczty w Interia.pl. Ciesz się nieograniczoną pojemnością, dużymi załącznikami i błyskawicznym działaniem. Bezpieczne i darmowe konto email czeka na Ciebie!","Illegal content (per Polish law, AUC); content against social norms or good customs; unauthorized copying/modification of portal content; fraud or abuse of services","Collect internet data (visited pages, device/browser info, location, visit time, user activity, marketing attributes, referral source), form data (contact/registration forms). Stored in Poland/EOG, potentially transferred outside EOG (e.g., USA) with safeguards. Shared with IT/payment/marketing providers, legal authorities, advertising partners (e.g., Google, Facebook).","no","no","free;","yes","Interia.pl is a Polish email service part of a major internet portal launched in 2000 in Kraków. It offers free email accounts with the @interia.pl domain, alongside access to news, social features, and other services. It supports standard IMAP, SMTP, and POP3 protocols, enabling use with third-party clients (e.g., Outlook, Thunderbird). The service targets a broad audience, providing basic communication tools integrated with the portal. Security & Anonymity: Interia.pl employs SSL/TLS encryption for data transmission (port 993 for IMAP, 465 for SMTP), offering a baseline level of security. Two-factor authentication (2FA) is supported, reducing the risk of unauthorized access. However, it lacks end-to-end encryption, meaning email content is stored unencrypted on servers and accessible to administrators. Anonymity is limited: registration requires personal details (e.g., name), and the service collects internet data (IP, activity, device info), which may be shared with advertising partners (Google, Facebook) and authorities upon request. Data is stored in Poland (EU), adhering to GDPR, but may be transferred outside the EEA (e.g., to the USA) with standard contractual safeguards. A data breach in 2023 (14.2 KB, including emails) raises concerns about its security track record. Use Cases: The free Interia.pl email is suitable for everyday communication, website registrations, receiving newsletters, or casual use. Its IMAP/SMTP support makes it convenient for users who prefer desktop or mobile clients. However, due to weak anonymity and lack of end-to-end encryption, it’s not recommended for confidential correspondence or scenarios requiring high privacy (unlike Proton Mail or Tutanota). It’s a versatile, basic tool with moderate protection, best for non-critical needs rather than a specialized security solution."
" 🇵🇱","int.pl",,"217.74.65.119 | 🇵🇱 | Poland | AS16138 | Interia.pl Sp z.o.o. | Interia.pl S.A.","mx.interia.pl | 🇵🇱 | Poland | AS16138 | Interia.pl Sp z.o.o. | Interia.pl S.A.",1998-03-23,2026-03-19,"🇵🇱 Interia.pl Sp z.o.o.",,"Poland","Darmowy email INT.PL - szybka rejestracja i logowanie do poczty bez reklam
Załóż darmowe konto email na INT.PL i ciesz się szybką rejestracją, bez reklam. Odkryj bezpieczną i wygodną pocztę, która spełni wszystkie Twoje potrzeby.",,,"no","no","free","no",
" 🇵🇱","onet.pl","op.pl
onet.pl
poczta.onet.pl
vp.pl
onet.eu
autograf.pl
buziaczek.pl
spoko.pl
poczta.onet.pl
onet.com.pl
amorki.pl
Opoczta.pl","52.84.174.84 | 🇫🇷 | France | AS16509 | Amazon.com, Inc.","mx.poczta.onet.pl | 🇵🇱 | Poland | AS12990 Ringier Axel Springer Polska Sp. z o.o.",1996-06-22,2025-08-20," 🇵🇱 Ringier Axel Springer Polska sp. z o.o. ",,"Poland","Onet – You are up to date
Onet: codzienne źródło informacji milionów Polaków - wiadomości z kraju i ze świata 24/7, pogoda, sport, biznes, moto, rozrywka. Bądź na bieżąco z Onet!","Violating Polish/EU laws; posting radical, vulgar, offensive, pornographic, or drug/alcohol-promoting content; commercial activity; penetrating/testing security; unlawful content; altering/reproducing site materials without consent","Collect personal data (email, name, age, gender, city, birth date), activity data (visited pages, clicks, purchase history), device/browser info, location, cookies/cache, IDs. Stored in Poland/EEA, may transfer outside EEA (e.g., Google, Facebook) with safeguards. Shared with IT/marketing providers, authorities, Trusted Partners (e-commerce/advertisers) with consent.","yes","optional","free","yes","Onet is a Polish internet portal that includes an email service provided by Ringier Axel Springer Polska. Beyond email functionality, Onet offers access to news, social features, cloud storage, and personalized content. Based in Poland and regulated by EU laws, including GDPR, it provides a certain level of legal data protection for users.  Security & Anonymity: Onet does not position itself as an anonymous service. Using the email requires registration with personal details (e.g., email, name, age, gender, city), and it collects activity data (views, clicks, purchase history), device info, location, and cookies. Encryption is present (SSL/TLS is implied for web access), but end-to-end email encryption is absent, meaning message content is accessible to the provider. IP addresses and metadata are not hidden, and data may be shared with partners (e.g., Google, Facebook) for advertising with user consent. Privacy is limited: data is stored in Poland/EEA but may be transferred outside the EEA with safeguards (e.g., Standard Contractual Clauses). Users must secure their passwords, but the service doesn’t offer maximum anonymity, as it prioritizes personalization and marketing. The privacy policy was last updated on July 26, 2023.  Use Cases: Onet is suitable for everyday communication, news reading, and using additional features (forums, shopping) within a single platform, especially for Poland-based users or those comfortable in a Polish-language ecosystem. It’s a good choice for people who value content integration and interest-based ads over strict privacy. However, due to data collection and lack of anonymity, it’s not ideal for confidential correspondence, handling sensitive data, or anonymous use (unlike Proton Mail or Tutanota). It’s best for casual tasks with moderate security expectations."
" 🇮🇳","datamail.in",,"202.157.83.37 | 🇮🇳 |  India | AS17753 | DATA INGENIOUS GLOBAL LIMITED | Data Infosys Ltd","tls.spamjadoo.com | 🇮🇳 |  India | AS17753 | DATA INGENIOUS GLOBAL LIMITED | Data Infosys Ltd
aspmx.spamjadoo.com | 🇮🇳 |  India | AS17753 | DATA INGENIOUS GLOBAL LIMITED | Data Infosys Ltd
Aspmx1.spamjadoo.com | 🇮🇳 |  India | AS17753 | DATA INGENIOUS GLOBAL LIMITED | Data Infosys Ltd",2016-08-29,2025-08-29," 🇮🇳 Data xgen technologies Pvt Ltd.",,"India","Free Business Email Address | Corporate Email Solution
Get a Free Business Email Address from Data Mail. Our Corporate Email Solution specially designed for your requirements to bring you an enterprise email system","Illegal use of services; violating Terms of Service; unauthorized access/alteration of data; distributing harmful content (implied); void where prohibited","Collect personal info (name, email, phone, credit card, language, profile data, photo), device info (model, OS, identifiers, phone number), usage data (logs, search queries, telephony logs, IP, location, cookies, app numbers). Stored globally (servers in multiple countries). Shared with consent, domain admins, affiliates for processing, legal authorities, or non-identifiable data with partners (e.g., advertisers).","yes","optional","free","optional","Datamail is an email service provided by the Indian company Data Xgen Technologies Pvt Ltd, launched as part of a digital initiative. It offers free email accounts with the @datamail.in domain, accessible via a web interface and mobile application. The service supports contact synchronization, basic communication features, and integration with advertising services. To register, you must install the official Datamail app on your phone (available for Android and iOS), tying the process to a mobile device. Security & Anonymity: Datamail employs SSL encryption to secure data transmission and provides two-factor authentication (2FA) to enhance login security. However, it lacks end-to-end encryption, meaning email content remains accessible to the company as data is stored unencrypted on servers. Anonymity is minimal: registration via the app requires personal details (name, email, phone number, sometimes credit card), alongside device information (model, OS, IP, identifiers) and usage data (logs, queries, contacts). This data may be shared with partners (e.g., advertisers) or authorities upon request, with servers located across multiple countries, reducing privacy control. The privacy policy (last updated December 22, 2016) emphasizes personalization over anonymity. Datamail is suitable for basic communication, sending emails, syncing contacts, or registering on websites where high privacy isn’t a priority. The mobile app makes it convenient for phone-based users, particularly in India, where it’s promoted as a local alternative. However, due to weak anonymity, lack of end-to-end encryption, and extensive data collection, it’s not recommended for confidential correspondence or scenarios requiring identity protection (unlike Proton Mail or Tutanota). It’s a general-purpose tool for everyday tasks with moderate security, aimed at mainstream users."
" 🇰🇿","topmail.kz",,"185.97.115.26 | 🇰🇿 | Kazakhstan | AS200590 | NLS Kazakhstan LLC","pro.topmail.kz | 🇰🇿 | Kazakhstan | AS200590 | NLS Kazakhstan LLC",2015-04-22,," 🇰🇿 ТОО “РайтБайтс”",,"Kazakhstan","TOPMAIL.kz - Почта, интересная информация
Почта, интересная информация регистрация почты, бесплатная почта, халявная почта, казахстанская почта, казахская почта, создать почту, получить почту ","Illegal actions (per Kazakh law or international norms); violating IP/author rights; spam; impersonation; sending viruses/malware; harmful, threatening, or discriminatory content; disrupting service","Collect personal data (name, surname, gender, additional email), IP address for stats. Stored in Kazakhstan by TOO ""RightBytes"". Shared only with Kazakh authorities if legally required.","optional","no","free","yes","TopMail.kz is a free email service from Kazakhstan, provided by TOO ""RightBytes"". It operates via a web interface at topmail.kz, offering users addresses in the format username@topmail.kz and a mailbox for storing messages. The service focuses on simplicity: registration involves filling out a form with basic details, followed by access using a login and password. It supports core email functions like sending and receiving messages but does not mention IMAP/SMTP support or mobile apps. Security & Anonymity: TopMail.kz claims to protect data with organizational and technical measures, but specific methods (e.g., SSL or end-to-end encryption) are not detailed, leaving its security level unclear. Password security (recommended at least 8 characters with numbers and symbols) is the user’s responsibility, and its loss poses risks. Anonymity is limited: registration requires name, surname, gender, and an additional email, while IP addresses are collected for stats. Data is stored in Kazakhstan and shared only with authorities if legally required, with no mention of advertising partners or third parties, offering better privacy than services like Gmail. However, the lack of encryption and mandatory personal data reduces anonymity. The privacy policy was last updated on July 31, 2017. TopMail.kz is suitable for basic correspondence, local communication in Kazakhstan, or registering on sites where high confidentiality isn’t needed. It’s a straightforward option for users who value minimalism and the absence of ad-related data sharing, as well as those comfortable with Kazakhstan’s jurisdiction. However, due to unclear security and required personal details, it’s not ideal for anonymous use or highly private correspondence (unlike Proton Mail or Tutanota). It’s best for everyday tasks with moderate security needs."
" 🇦🇿","mail.az","chat.az
from.az
Baku.az","217.14.97.37 | 🇦🇿 | Azerbaijan | AS15815 | INTRA Network Systems Ltd","mx.mail.az | 🇦🇿 | Azerbaijan | AS15815 | INTRA Network Systems Ltd",,," 🇦🇿 Network Thechnologies",,"Azerbaijan","Azerbaijan Mail Services",,,"no","no","free","yes",
" 🇦🇿","amail.az",,"62.212.239.200 | 🇦🇿 | Azerbaijan | AS29049 | Delta Telecom Ltd","amail.az | 🇦🇿 | Azerbaijan | AS29049 | Delta Telecom Ltd",,," 🇦🇿  Rashad Aliyev (YER Hosting)",,"Azerbaijan","Amail.az - Azərbaycan mail xidməti
","Republishing site materials elsewhere; selling, sublicensing, or commercially using materials; public display of materials; damaging the site or its users’ access; violating laws or harming entities; data mining/extraction; using for advertising/marketing","No specific data collection details provided in text; implied collection of user ID and password for account access. Storage and sharing not explicitly mentioned.","no","no","free","yes","Amail is an Azerbaijani email service operating under the .az domain, offering more than just email functionality. It includes additional features such as weather updates and a cloud storage service (Drive) for uploading, storing, and managing files. Based in Azerbaijan, it positions itself as a local platform with a web interface. The team is actively working on expanding capabilities and enhancing existing features, inviting users to contribute to the project’s development.  Security & Anonymity: The provided text lacks details on security measures—no mention of SSL/TLS, end-to-end encryption, or two-factor authentication (2FA). Users are responsible for keeping their login and password confidential, suggesting minimal built-in protection from the service itself. Privacy is also unclear: there’s no information on data collection, storage, or sharing (e.g., IP addresses, email content), which could indicate either a basic approach or the existence of a separate, unprovided privacy policy. Registration requires an account, but specific required data (e.g., name, email) isn’t specified. The absence of references to sharing data with third parties (e.g., advertisers) might be a positive, but without encryption guarantees, anonymity and protection remain uncertain. The service operates under Azerbaijani law, which governs potential government requests.  Use Cases: Amail is suitable for basic communication, local use in Azerbaijan, or storing non-critical files in the cloud. It’s convenient for users who want extras like weather updates and Drive in one interface, particularly if they trust Azerbaijan’s jurisdiction. However, due to unclear security and privacy policies, it’s not recommended for confidential correspondence, anonymous use, or handling sensitive data (unlike Proton Mail or Tutanota). It’s best as a simple tool for everyday tasks with moderate protection expectations."
" 🇸🇬","dmail.ai",,"172.67.73.218 | 🇨🇦 | Canada | AS13335 | Cloudflare, Inc.","smtp.dmail.ai | 🇸🇬 | Singapore | AS63949 | Akamai Connected Cloud",2021-08-07,2025-08-07," 🇸🇬 DMAIL NETWORK FOUNDATION LTD.",,"Singapore","Dmail","Misusing services; engaging in fraudulent activities; violating laws; providing inaccurate registration info","Collect profile/contact data (email, phone, social login), device/IP data (IP, device ID, OS, browser), social network data (email, IP, device ID), geolocation (IP-based). Stored with robust security measures (unspecified). Shared with third parties for operations, insights, or legal mandates.","no","no","free","no","Dmail Network is a next-generation decentralized email service built on blockchain technology for the Web3 era. It integrates with various blockchains (Ethereum, BNB Chain, Polygon, Dfinity, etc.) and offers not only email functionality but also features like NFT domain management, token interactions, and cross-chain communication. Dmail positions itself as a secure and versatile platform for communication in the decentralized internet, blending traditional email capabilities with Web3 innovations.  Security & Anonymity: Dmail Network prioritizes privacy and security. The service employs decentralized data storage, splitting email headers and bodies: headers are recorded on the blockchain, while bodies are encrypted with a token and distributed across the network, eliminating centralized vulnerabilities. It uses end-to-end encryption, ensuring only the sender and recipient can decrypt messages. For enhanced anonymity, Zero-Knowledge Proofs (ZKP) are implemented, allowing identity verification without revealing personal data. Registration requires creating a Web3 address but not necessarily providing personal details, boosting anonymity. However, full anonymity isn’t guaranteed, as activity data and IP addresses may be collected for analytics and service improvement, and could be shared with third parties under legal mandates (per Singapore law).  Use Cases: Dmail is ideal for users within the Web3 ecosystem, including crypto enthusiasts, dApp developers, marketers, and influencers who value secure communication and blockchain integration. Its compatibility with Web2 emails (ability to send to regular addresses) makes it a convenient bridge from traditional to decentralized services. It’s suitable for:      Confidential correspondence with encryption.     Managing NFT domains and tokens directly within the email platform.     Cross-chain notifications and communication between blockchains.     Web3 marketing campaigns (MailtoEarn allows earning points). However, due to its Web3 focus and some data collection (IP, device info), it’s less suited for absolute anonymity compared to services like Proton Mail. It’s a tool for those seeking to combine security, innovation, and functionality in the decentralized world."
"🇬🇧","mailchain.com",,"16.16.119.222 | 🇸🇪 | Sweden | AS16509 | Amazon.com, Inc.","in1-smtp.messagingengine.com | 🇺🇸 | United States | AS151847 | Fastmail Pty Ltd
in2-smtp.messagingengine.com | 🇺🇸 | United States | AS151847 | Fastmail Pty Ltd",2014-12-25,2032-12-25,"🇬🇧 Mailchain Limited","Five Eyes (👀 5)","United States","Mailchain | Add web3 email to your project
Get your own web3 email inbox connected to your wallet. Also with our SDK, developers can easily add web3 email to their own projects and applications, allowing them to engage with their users in a truly web3 way.","Misusing platform (e.g., viruses, hacking, phishing); disrupting servers; unauthorized access/data extraction; bulk messaging; violating laws; using if under 13 or on sanctions lists; distributing unlawful/harmful content; reverse engineering","Collect minimal data: encrypted user content (messages, aliases, labels), technical data (IP briefly via Fathom Analytics, public keys, auth tokens, push tokens). Stored encrypted in user’s mailbox; no access to message content. Shared with third parties (e.g., captcha/helpdesk providers) only for operations, or legally mandated (UK law).","no","no","free","no","Mailchain is a decentralized email service designed for Web3, enabling users to send and receive encrypted messages between blockchain addresses (e.g., Ethereum, Polygon, etc.). Built on decentralization principles, Mailchain integrates with Web3 wallets, leverages cryptographic keys for identification and encryption, and gives users control over their data. It’s more than just email—it’s a communication platform for the Web3 ecosystem, supporting messaging via blockchain addresses and user-friendly names (e.g., username@mailchain.com).  Security & Anonymity: Mailchain offers a high level of privacy through end-to-end encryption, ensuring that message content is accessible only to the sender and recipient—Mailchain itself cannot decrypt it. Messages are stored encrypted in the user’s mailbox, with keys (identity key, messaging key) managed by the user via a secret recovery phrase. For anonymity, data collection is minimal: IP addresses are briefly processed via Fathom Analytics without identifying individuals, and personal details (e.g., name or email) aren’t required for registration—just a Web3 address. However, full anonymity isn’t guaranteed: technical data (authentication tokens, public keys) is collected for functionality, and information may be disclosed under legal mandates (England and Wales jurisdiction). The lack of centralized control enhances security, but users must safeguard their keys—losing them means losing access without recovery options from Mailchain.  Use Cases: Mailchain is ideal for Web3 users, such as crypto wallet owners, decentralized app (dApp) developers, DAO participants, and crypto enthusiasts. It’s a great fit for:      Secure correspondence between blockchain addresses with encryption.     Communication within decentralized communities without intermediaries.     Integration with Web3 identities and names (e.g., ENS).     Confidential messaging within the crypto ecosystem. It’s less suited for traditional communication (e.g., with Gmail) as it targets the Web3 audience and doesn’t provide absolute anonymity due to potential legal data disclosure. It’s a tool for those who value decentralization, data control, and security in the context of blockchain technologies."
"🇦🇪","ledgermail.io",,"188.114.96.0 | 🇨🇦 | Canada | AS13335 | Cloudflare, Inc.","mx.zoho.com | 🇺🇸 | United States | AS2639 | ZOHO | NTT America
mx2.zoho.com | 🇺🇸 | United States | AS2639 | ZOHO | NTT America
Mx3.zoho.com | 🇺🇸 | United States | AS2639 | ZOHO | NTT America",2018-09-27,2025-09-27,"🇦🇪 LedgerFi IT Solutions",,"United States","LedgerMail - Web3 Email
LedgerMail - World's first Decentralized Email Solution on a mission of protecting Digital Rights of email users in a Decentralized way! Highest level of Email Security, Privacy, Encryption and Prevention from email attacks with 4th generation Blockchain.","Commercial exploitation of site (sell, rent, host); modifying/reverse engineering site; building competitive sites; accessing if under 18; violating laws; infringing IP rights","Collect registration data (name, company, address, email), usage/log data (IP, browser, ISP, timestamps), optional profile picture. Stored encrypted during transit/storage. Shared only as legally required or for service provision (no third-party sharing otherwise).","no","no","free","no","LedgerMail is a decentralized email service provided by LedgerFi IT Solutions Pvt. Ltd., built on Web3 principles and accessible via ledgermail.io. Positioned as a secure alternative to traditional email platforms, LedgerMail integrates blockchain technologies to enhance data privacy and user control. It combines standard email functionality with Web3 features, such as cryptographic methods for securing correspondence, targeting users seeking modern communication solutions.  Security & Anonymity: LedgerMail prioritizes privacy by encrypting data during transit and storage using industry-standard protocols (e.g., TLS for transit, though specifics aren’t detailed). All data, including email content, is stored encrypted with strict access controls in place. However, anonymity is limited: registration requires providing a name, email address, physical address, and optionally a company name, making it less anonymous than platforms like Proton Mail or Mailchain. IP addresses and usage data (browser type, ISP, timestamps) are collected for analytics and service improvement but not tied to personal identification. Data isn’t shared with third parties except as legally required (UAE jurisdiction, compliant with CCPA and GDPR). Account deactivation triggers data deletion, emphasizing user control, but the lack of end-to-end encryption reduces privacy for message content.  Use Cases: LedgerMail is suitable for Web3 users looking to integrate email with decentralized technologies while maintaining a baseline level of security. It’s a good fit for:      Business communication with data encryption (e.g., for small companies or freelancers).     Personalized correspondence with optional profile picture customization.     Transitioning from traditional email to Web3-oriented solutions. However, due to mandatory registration data and lack of full anonymity, it’s not ideal for highly confidential correspondence or anonymous use. It serves as an intermediate option for those valuing above-average security without needing maximum privacy, tailored for blockchain ecosystem enthusiasts. It’s optimal for everyday tasks with moderate confidentiality requirements."
"🇺🇸","onionmail.org","onionmail.org
onionmail.com
2mail.co
mail2tor.co
Gtfcy37qyzor7kb6blz2buwuu5u7qjkycasjdf3yaslibkbyhsxub4yd.onion","172.67.70.75 | 🇨🇦 | Canada | AS13335 | Cloudflare, Inc","mxmail.onionmail.org | 🇸🇬 | Singapore | AS141995 | Contabo Asia Private Limited",2020-08-03,2025-08-03,"🇺🇸 Onion Search Engine LLC","Five Eyes (👀 5)","Singapore","Onion Mail - Encrypted & Anonymous email
Onion Mail is free encrypted & anonymous email service, manage emails in the normal network and in the onion network. Encrypt email with your PGP public key.","Unlawful use; soliciting illegal acts; violating laws/regulations; infringing IP rights; harassment/discrimination; false info; viruses/malware; spam/phishing; obscene content; bypassing security; under 18 use","Collect minimal data: optional account info (name, email if provided), auto-collected (IP, browser type/version, OS, access times). Stored encrypted with PGP (content inaccessible to provider). No sharing except legal mandates (NY, US law).","no","no","free","yes","Onion Mail is an anonymous and secure email service operating on the Tor network and utilizing PGP (Pretty Good Privacy) encryption. Accessible via a .onion address, as well as standard domains onionmail.org and onionmail.com, this service is designed to provide maximum confidentiality and data protection in the digital age. Onion Mail targets users who prioritize anonymity and safeguarding against surveillance, offering a decentralized messaging platform within the darknet and beyond.  Security & Anonymity: Onion Mail stands out for its exceptional privacy and anonymity features. Messages are encrypted with PGP, ensuring end-to-end encryption—content is accessible only to the sender and recipient, with the service itself unable to view the text. Operating through the Tor network hides users’ IP addresses by routing traffic through multiple nodes, making it nearly impossible to trace the sender or receiver. Registration doesn’t require personal data (name or email can be omitted), and encryption keys are generated and stored by the user, enhancing security control. However, minimal data (IP, browser type, access times) is automatically collected for statistics and abuse prevention, though it doesn’t identify individuals. Data isn’t shared with third parties except under legal mandates (New York, USA jurisdiction). Full anonymity relies on proper Tor usage and key management by the user.  Use Cases: Onion Mail is ideal for those seeking maximum confidentiality and anonymity in communication, especially under censorship or surveillance conditions. It’s a perfect fit for:      Anonymous messaging via the darknet (e.g., with other .onion users).     Protecting correspondence for activists, journalists, or whistleblowers where secrecy is critical.     Sending emails to standard addresses while preserving sender anonymity.     Individuals avoiding mass surveillance and valuing independence from big corporations. The service is user-friendly but requires the Tor Browser, making it less convenient for everyday tasks compared to traditional email providers. It’s not suited for commercial purposes or bulk messaging, but rather for those willing to trade convenience for security and anonymity in specific scenarios, such as darknet activities or protection from repression. Onion Mail is a niche tool for users who prioritize privacy above all else."
,"privatemx.org",,"103.28.91.121 | 🇲🇾 | Malaysia | AS132372 | GB Network Solutions Sdn. Bhd.","mail.privatemx.org | 🇲🇾 | Malaysia | AS132372 | GB Network Solutions Sdn. Bhd.",2024-05-03,2025-05-03,,,"Malaysia","Private & Anonymous Email Service | PrivateMX
Anonymous and Secure Email Service for Tor users. Enjoy confidential communication with advanced encryption, ensuring anonymity and protecting your emails from unauthorized access and surveillance.","Extremely illegal activity on the platform","Collect data for account creation and support (unspecified types). Stored with reasonable security measures. No sharing unless required by law.","no","no","free","no","PrivateMX is an anonymous email service operating through the Tor network and accessible at privatemx.org. Designed with a focus on privacy, PrivateMX allows users to send and receive messages in a secure darknet environment. This service targets individuals seeking a straightforward and safe communication method, avoiding mass surveillance and preserving privacy amidst digital threats.  Security & Anonymity: PrivateMX offers a high level of privacy by leveraging the Tor network, which conceals users’ IP addresses by routing traffic through multiple nodes to ensure anonymity. While specific encryption methods (e.g., end-to-end encryption) aren’t detailed in the provided policy, the service claims to implement “reasonable security measures” to protect data from loss, misuse, or alteration. Data is collected for account creation and support (likely minimal, such as a username or email), though exact types aren’t specified. Anonymity is partial: registration may require basic information, and full protection depends on proper Tor usage and user caution. Data isn’t shared with third parties except as required by law (Mexican jurisdiction), introducing some legal vulnerability. Users have rights to access, rectify, or delete their data, enhancing control over their information.  Use Cases: PrivateMX is suitable for users who value basic anonymity and communication protection within the darknet. It’s a good fit for:      Anonymous messaging via the Tor network, such as with other darknet users.     Individuals avoiding surveillance from corporations or government entities.     Simple correspondence tasks requiring moderate privacy without complex setup. However, due to limited details on encryption and potential data collection for registration, it’s less ideal for highly sensitive communication (e.g., for journalists or activists) compared to services like Onion Mail with explicit PGP encryption. PrivateMX is a practical option for those seeking baseline anonymity in Tor without needing maximum security or advanced features. It’s optimal for everyday use in scenarios where privacy matters but isn’t critical."
